SendDate,Solar Power (kW),Solar energy Generation (kWh),consumptionValue (kW)
07/01/2024 00:05,143,0.47,0.41
07/01/2024 00:13,144,0.42,0.39
07/01/2024 00:21,143,0.31,0.44
07/01/2024 00:28,144,0.77,0.39
07/01/2024 00:37,145,0.11,0.45
07/01/2024 00:42,144,0.69,0.36
07/01/2024 00:51,145,0.02,0.42
07/01/2024 00:56,144,0.89,0.41
07/01/2024 01:01,143,0.93,0.36
07/01/2024 01:06,145,0.44,0.43
07/01/2024 01:13,143,0.49,0.4
07/01/2024 01:18,145,0.41,0.43
07/01/2024 01:25,143,0.04,0.41
07/01/2024 01:30,144,0.29,0.42
07/01/2024 01:37,145,0.01,0.4
07/01/2024 01:43,145,0.36,0.38
07/01/2024 01:50,143,0.41,0.41
07/01/2024 01:59,145,0.27,0.39
07/01/2024 02:04,145,0.96,0.36
07/01/2024 02:13,145,0.67,0.35
07/01/2024 02:20,145,0.27,0.36
07/01/2024 02:27,143,0.28,0.42
07/01/2024 02:32,145,0.89,0.43
07/01/2024 02:38,144,0.9,0.42
07/01/2024 02:45,145,0.66,0.41
07/01/2024 02:53,143,0.03,0.39
07/01/2024 03:01,145,0.58,0.36
07/01/2024 03:09,143,0.05,0.43
07/01/2024 03:18,145,0.35,0.39
07/01/2024 03:27,144,0.53,0.44
07/01/2024 03:36,144,0.63,0.37
07/01/2024 03:44,145,0.14,0.39
07/01/2024 03:52,144,0.88,0.38
07/01/2024 04:01,144,0.34,0.42
07/01/2024 04:07,143,0.11,0.36
07/01/2024 04:14,145,0.24,0.43
07/01/2024 04:20,144,0.83,0.41
07/01/2024 04:29,144,0.2,0.42
07/01/2024 04:37,143,0.18,0.44
07/01/2024 04:42,145,0.38,0.43
07/01/2024 04:48,144,0.45,0.41
07/01/2024 04:53,143,0.27,0.37
07/01/2024 05:01,145,0.3,0.37
07/01/2024 05:06,143,0.99,0.39
07/01/2024 05:12,145,0.34,0.4
07/01/2024 05:17,143,0.01,0.44
07/01/2024 05:23,145,0.84,0.41
07/01/2024 05:32,143,0.08,0.4
07/01/2024 05:37,145,0.4,0.37
07/01/2024 05:42,143,0.65,0.42
07/01/2024 05:51,144,0.24,0.35
07/01/2024 05:59,145,0.67,0.38
07/01/2024 06:04,143,0.69,0.41
07/01/2024 06:10,143,0.33,0.44
07/01/2024 06:16,143,0.89,0.38
07/01/2024 06:25,143,0.21,0.42
07/01/2024 06:33,143,0.24,0.39
07/01/2024 06:40,145,0.35,0.45
07/01/2024 06:45,144,0.22,0.36
07/01/2024 06:50,145,0.62,0.43
07/01/2024 06:57,144,0.64,0.4
07/01/2024 07:04,144,0.26,0.43
07/01/2024 07:10,145,0.6,0.35
07/01/2024 07:19,144,0.17,0.41
07/01/2024 07:25,143,0.22,0.42
07/01/2024 07:30,145,0.54,0.45
07/01/2024 07:39,144,0.5,0.36
07/01/2024 07:44,143,0.7,0.42
07/01/2024 07:49,144,0.35,0.35
07/01/2024 07:54,144,0.74,0.35
07/01/2024 07:59,144,0.55,0.42
07/01/2024 08:05,144,0.87,0.37
07/01/2024 08:13,143,0.39,0.37
07/01/2024 08:19,143,0.11,0.36
07/01/2024 08:28,145,0.71,0.44
07/01/2024 08:34,143,0.1,0.38
07/01/2024 08:43,145,0.62,0.41
07/01/2024 08:50,144,0.62,0.36
07/01/2024 08:59,143,0.03,0.41
07/01/2024 09:07,144,0.41,0.42
07/01/2024 09:16,145,0.44,0.39
07/01/2024 09:22,144,0.72,0.35
07/01/2024 09:27,143,0.85,0.4
07/01/2024 09:33,143,0.24,0.44
07/01/2024 09:38,144,0.17,0.39
07/01/2024 09:43,145,0.2,0.45
07/01/2024 09:48,143,0.84,0.39
07/01/2024 09:54,144,0.49,0.42
07/01/2024 10:03,143,0.79,0.42
07/01/2024 10:10,144,0.31,0.39
07/01/2024 10:18,143,0.66,0.4
07/01/2024 10:27,145,0.68,0.42
07/01/2024 10:33,143,0.64,0.36
07/01/2024 10:40,143,0.82,0.36
07/01/2024 10:48,143,0.37,0.44
07/01/2024 10:54,143,0.86,0.37
07/01/2024 11:03,143,0.31,0.37
07/01/2024 11:09,144,0.62,0.4
07/01/2024 11:17,145,0.41,0.35
07/01/2024 11:24,143,0.27,0.36
07/01/2024 11:33,143,0.42,0.37
07/01/2024 11:42,143,0.1,0.42
07/01/2024 11:50,144,0.54,0.44
07/01/2024 11:59,143,0.37,0.39
07/01/2024 12:07,145,0.72,0.42
07/01/2024 12:14,145,0.12,0.41
07/01/2024 12:22,143,0.1,0.4
07/01/2024 12:27,144,0.33,0.43
07/01/2024 12:33,145,0.66,0.4
07/01/2024 12:39,145,0.03,0.38
07/01/2024 12:47,143,0.09,0.36
07/01/2024 12:52,145,0.4,0.36
07/01/2024 13:00,144,0.05,0.43
07/01/2024 13:06,144,0.35,0.36
07/01/2024 13:14,145,0.32,0.37
07/01/2024 13:23,145,0.59,0.39
07/01/2024 13:30,143,0.57,0.44
07/01/2024 13:36,144,0.02,0.45
07/01/2024 13:45,145,0.38,0.4
07/01/2024 13:50,144,0.18,0.42
07/01/2024 13:57,143,0.34,0.45
07/01/2024 14:04,143,0.86,0.42
07/01/2024 14:10,145,0.26,0.42
07/01/2024 14:15,145,0.8,0.39
07/01/2024 14:20,143,0.8,0.39
07/01/2024 14:26,145,0.02,0.39
07/01/2024 14:31,143,0.33,0.39
07/01/2024 14:36,144,0.31,0.43
07/01/2024 14:43,145,0.11,0.37
07/01/2024 14:48,143,0.05,0.43
07/01/2024 14:53,145,0.89,0.39
07/01/2024 15:00,145,0.14,0.38
07/01/2024 15:07,143,0.45,0.42
07/01/2024 15:16,144,0.9,0.41
